artist_names,track_name,peak_streams,total_streams,max_peak_rank,min_peak_rank,max_days_on_chart,best_day_streams,first_appearance,uri,source,count,best_day_date,duration_ms,explicit,is_local,popularity,track_number,release_date,album_total_tracks,album_name,spotify_uri,relase-chart_days,chart-best_days,release-best_days,relase-chart_days_bins,is_colab,artist_count
The Weeknd,Blinding Lights,8453567,4552239347,8,1,1858,8453567,2019-11-29,spotify:track:0sf12qNH5qcw8qpgymFOqD,Republic Records,1858,2020-03-20,201573,False,False,22,1,2019-11-29,1,Blinding Lights,spotify:track:0sf12qNH5qcw8qpgymFOqD,0,112,112,0 days,False,1
Harry Styles,As It Was,16103849,3640335748,40,1,1002,16103849,2022-03-31,spotify:track:4LRPiXqCikLlN15c3yImP7,Columbia,1002,2022-04-01,167303,False,False,16,1,2022-03-31,1,As It Was,spotify:track:4LRPiXqCikLlN15c3yImP7,0,1,1,0 days,False,1
Lewis Capaldi,Someone You Loved,3974554,3625415177,198,4,2166,3974554,2019-01-07,spotify:track:2TIlqbIneP0ZY1O0EzYLlc,Vertigo Berlin,2166,2019-10-30,182160,False,False,70,3,2018-11-08,4,Breach,spotify:track:2TIlqbIneP0ZY1O0EzYLlc,60,296,356,4+ weeks,False,1
Ed Sheeran,Shape of You,9891056,3607629552,1,1,2407,9891056,2017-01-06,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Atlantic Records UK,2407,2017-03-03,233712,False,False,87,4,2017-01-06,16,÷ (Deluxe),spotify:track:7qiZfU4dY1lWllzX7mPBI3,0,56,56,0 days,False,1
"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,5033261,3467020076,196,1,2187,5033261,2018-10-18,spotify:track:1A6OTy97kk0mMdm78rHsm8,Republic Records,2187,2019-01-18,158053,False,False,3,1,2018-10-18,1,Sunflower (Spider-Man: Into the Spider-Verse),spotify:track:1A6OTy97kk0mMdm78rHsm8,0,92,92,0 days,True,2
"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),10629302,3233689138,4,1,1202,10629302,2021-07-09,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,Columbia,1202,2021-08-20,141805,True,False,79,1,2021-07-09,1,STAY (with Justin Bieber),spotify:track:5HCyWlXZPP0y6Gqq8TgA20,0,42,42,0 days,True,2
Imagine Dragons,Believer,2575461,3135413674,165,15,2809,2575461,2017-02-02,spotify:track:0CcQNd8CINkwQfe1RDtGV6,Kid Ina Korner / Interscope,2809,2017-06-23,204346,False,False,4,3,2017-02-02,11,Evolve,spotify:track:0CcQNd8CINkwQfe1RDtGV6,0,141,141,0 days,False,1
"Billie Eilish, Khalid",lovely (with Khalid),2085328,3026488519,109,19,2432,2085328,2018-04-20,spotify:track:0u2P5u6lvoDfwTYjAADbn4,Darkroom,2432,2018-06-21,200185,False,False,87,1,2018-04-19,1,lovely (with Khalid),spotify:track:0u2P5u6lvoDfwTYjAADbn4,1,62,63,<1 week,True,2
Ed Sheeran,Perfect,3696922,2939867680,10,3,2655,3696922,2017-03-03,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Atlantic Records UK,2655,2017-03-06,263400,False,False,88,5,2017-03-03,16,÷ (Deluxe),spotify:track:0tgVpDi06FyKpA1z0VMD4v,0,3,3,0 days,False,1
Glass Animals,Heat Waves,5003951,2925100208,199,1,1299,5003951,2020-12-08,spotify:track:02MWAaffLxlfxAUY7c5dvx,Polydor Records,1299,2021-12-31,238805,False,False,16,14,2020-08-06,18,Dreamland (+ Bonus Levels),spotify:track:02MWAaffLxlfxAUY7c5dvx,124,388,512,4+ weeks,False,1
The Neighbourhood,Sweater Weather,3342205,2833909491,195,14,1590,3342205,2020-08-17,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,Columbia,1590,2024-10-04,240400,False,False,90,4,2013-04-22,11,I Love You.,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,2674,1509,4183,4+ weeks,False,1
Harry Styles,Watermelon Sugar,4321515,2596071282,14,4,1562,4321515,2019-11-17,spotify:track:1e9oZCCiX42nJl0AcqriVo,Columbia,1562,2020-08-14,174000,False,False,2,1,2019-11-17,2,Watermelon Sugar,spotify:track:1e9oZCCiX42nJl0AcqriVo,0,271,271,0 days,False,1
Tones And I,Dance Monkey,8928593,2508950138,178,1,1048,8928593,2019-07-18,spotify:track:1rgnBhdG2JDFTbYkYRZAku,Elektra (NEK),1048,2019-12-31,209754,False,False,60,1,2019-05-10,1,Dance Monkey,spotify:track:1rgnBhdG2JDFTbYkYRZAku,69,166,235,4+ weeks,False,1
"The Weeknd, Daft Punk",Starboy,3747787,2439695744,1,1,1549,3747787,2017-01-01,spotify:track:5aAx2yezTd8zXrkmtKl66Z,Universal Republic Records,1549,2017-01-13,230453,True,False,3,1,2016-11-25,18,Starboy,spotify:track:5aAx2yezTd8zXrkmtKl66Z,37,12,49,4+ weeks,True,2
Tom Odell,Another Love,3052832,2379686592,192,11,1355,3052832,2021-04-08,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,ITNO/Columbia,1355,2022-12-01,244360,True,False,63,3,2013-06-17,10,Long Way Down,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,2852,602,3454,4+ weeks,False,1
Miley Cyrus,Flowers,18424325,2331318432,3,1,711,18424325,2023-01-13,spotify:track:0yLdNVWF3Srea0uzk55zFn,Columbia,711,2023-01-20,200454,False,False,19,1,2023-01-13,1,Flowers,spotify:track:0yLdNVWF3Srea0uzk55zFn,0,7,7,0 days,False,1
James Arthur,Say You Won't Let Go,2806319,2306278960,13,7,2321,2806319,2017-01-01,spotify:track:5uCax9HTNlzGybIStD3vDh,Columbia,2321,2017-02-03,211466,False,False,83,2,2016-10-28,17,Back from the Edge,spotify:track:5uCax9HTNlzGybIStD3vDh,65,33,98,4+ weeks,False,1
SZA,Kill Bill,8455200,2255246186,5,1,754,8455200,2022-12-09,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,Top Dawg Entertainment/RCA Records,754,2023-01-20,153946,False,False,86,2,2022-12-08,23,SOS,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,1,42,43,<1 week,False,1
Taylor Swift,Cruel Summer,5405688,2242044725,5,2,694,5405688,2019-08-23,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,694,2023-10-20,178426,False,False,88,2,2019-08-23,18,Lover,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,0,1519,1519,0 days,False,1
